Date_Name_TissueType_,Species_Name_Abbreviation,Species_Name_Full,Sex, F_name_number,Pollination_Syndrome,Time_(min),Mass_(g),Mass*time,Limonene,"3-Hexen-1-ol, (Z)-",1-Hexanol,beta-Pinene,"3-Hexen-1-ol, acetate, (Z)-",trans-beta-Ocimene,Caryophyllene,Humulene,alpha-Farnesene,3-Carene,Methyl Benzoate,(E)-beta-Famesene,Germacrene D,Pentadecane,Heptadecane,alpha-Pinene,Camphene,beta-Myrcene,Tridecane,Tetradecanal,Benzaldehyde,Eucalyptol,1-Dodecene,"Tetradecanoic acid, ethyl ester",1-Octanol,"Octanoic acid, ethyl ester",Dodecane,Tetradecane,Hexadecane,"Hexadecanoic acid, ethyl ester",Anisole,Acetophenone,Benzyl Benzoate,"Butanedioic acid, diethyl ester","Benzeneacetic acid, ethyl ester",Undecane,Decanal,Dodecanal,Hexanal,2-Hexenal,Decane,"Butanoic acid, 3-hexenyl ester, (Z)-",Styrene,"2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-","2,6-Octadienal, 3,7-dimethyl-, (Z)-","2,6-Octadien-1-ol, 3,7-dimethyl-, (E)-","2,6-Octadienal, 3,7-dimethyl-","2-Propen-1-ol, 3-phenyl-","6-Octen-1-ol, 3,7-dimethyl-, acetate","2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (Z)-",Geranyl acetate,gamma-Terpinene,"Decanoic acid, ethyl ester",beta-Phellandrene
14_051012_thaqu136_fl_Kovatsmatchonly,aqu,Thalictrum_aquilegifolium,her,5,1,1410,6.88,9700.8,0,0,0,0,403337,19408104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_051812_thaqu133_fl_Kovatsmatchonly,aqu,Thalictrum_aquilegifolium,her,5,1,1410,2.79,3933.9,0,0,0,0,804225,39148458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2277920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150507_150501_thaqu137a_fl,aqu,Thalictrum_aquilegifolium,her,5,1,1420,4.44,6304.8,0,0,0,0,3925466,2543127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150507_150508_thaqu133_mfl,aqu,Thalictrum_aquilegifolium,her,5,1,1410,2.79,3933.9,0,0,0,0,2340132,42877716,0,0,0,0,2955195,0,0,0,0,0,0,2577998,0,0,0,0,0,0,0,0,0,2277920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150507_150501_thaqu137b_fl,aqu,Thalictrum_aquilegifolium,her,5,1,1420,3.44,4884.8,0,0,0,0,6513219,6943180,0,0,0,0,1372,0,0,0,0,0,0,1702316,0,0,0,0,0,0,0,0,0,578349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150501_thacla001_fl,cla,Thalictrum_clavatum,her,1,1,1420,0.85,1207,0,0,0,401157,0,356458,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150501_thclaa002_fl,cla,Thalictrum_clavatum,her,1,1,1420,0.47,667.4,0,0,0,465066,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140619_thcla003_fl_Kovatsmatchonly,cla,Thalictrum_clavatum,her,1,1,1500,1.2,1800,0,0,0,187053,0,120523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140619_thdasy334_fl_Kovatsmatchonly,dasy,Thalictrum_dasycarpum,male,8,2,1500,6.85,10275,2157300,17282809,0,4082348,172263075,4650955,0,0,58090360,0,0,0,0,16030659,6798483,4330119,0,977069,0,0,0,0,0,0,0,0,804688,0,0,0,0,0,0,0,0,0,758988,0,4094655,14043955,966317,1576817,0,0,0,0,0,0,0,0,0,0,0,0
140624_thdasy373_ffl_Kovatsmatchonly,dasy,Thalictrum_dasycarpum,female,8,2,1525,1.1,1677.5,354544,1856845,0,307537,3271259,529582,0,0,0,0,0,0,0,250056,802314,683620,1023359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
